Team,Team Score,Opponent,Opponent Score
Arkansas St,67,Ark Little Rock,58
Army,71,Navy,68
Austin Peay,92,Edwardsville,84
Ball St,109,C Michigan,100
Belmont,89,Morehead St,73
Bethune-Cookman,62,Hampton,61
Boise St,91,Wyoming,87
Bradley,84,Evansville,72
Bryant,79,St Francis PA,75
Buffalo,71,Miami OH,58
Charleston So,76,High Point,75
Cincinnati,80,Tulsa,60
Col Charleston,85,Northeastern,71
CS Bakersfield,51,Seattle,48
CS Fullerton,79,UC Davis,72
Dartmouth,80,Columbia,79
Davidson,79,Massachusetts,74
Dayton,76,St Bonaventure,72
Duke,99,Wake Forest,94
E Illinois,82,Murray St,65
Elon,65,Drexel,56
ETSU,65,Chattanooga,51
FL Atlantic,94,Southern Miss,82
FL Gulf Coast,97,SC Upstate,89
Florida,57,Mississippi St,52
Fordham,54,St Louis,40
Fresno St,71,New Mexico,61
Ga Southern,70,Texas St,67
Gardner Webb,84,Presbyterian,56
Gonzaga,82,Pacific,61
Grambling,62,Jackson St,59
Grand Canyon,77,Utah Valley,71
Harvard,87,Cornell,75
Hawaii,82,Cal Poly SLO,61
Howard,84,NC A&T,53
Illinois,70,Iowa,66
Incarnate Word,69,Sam Houston St,53
Iowa St,84,TCU,71
Kansas,67,Baylor,65
Kansas St,64,Texas,61
Kennesaw,85,North Florida,68
Kent,70,Akron,67
Kentucky,82,Georgia,77
La Salle,83,St Joseph's PA,68
Lipscomb,81,Jacksonville,69
Long Beach St,66,Santa Barbara,48
Long Island,83,Sacred Heart,82
Louisiana Tech,77,Florida Intl,61
Louisville,94,Virginia Tech,90
Loy Marymount,82,Pepperdine,61
Marquette,83,Xavier,61
Mercer,89,Citadel,78
Miami FL,71,Clemson,65
Missouri KC,84,Chicago St,65
Missouri St,76,Drake,73
Montana,85,Portland St,82
Montana St,62,CS Sacramento,59
Morgan St,83,Savannah St,75
Mt St Mary's,79,F Dickinson,74
MTSU,97,Marshall,86
N Colorado,87,Idaho St,81
N Dakota St,100,W Illinois,91
NC Central,82,MD E Shore,69
Nebraska,58,Ohio St,57
Nevada,77,Utah St,66
New Hampshire,82,Hartford,52
New Mexico St,107,UTRGV,101
New Orleans,84,Cent Arkansas,61
NJIT,60,Stetson,56
Norfolk St,77,Florida A&M,65
North Carolina,65,Virginia,41
North Dakota,77,Weber St,68
North Texas,83,UT San Antonio,73
Northwestern,69,Rutgers,65
Northwestern LA,80,Nicholls St,78
Notre Dame,81,NC State,72
Ohio,95,Bowling Green,75
Oklahoma St,96,Oklahoma,92
Old Dominion,72,Charlotte,48
Oregon,101,Colorado,73
Penn,71,Yale,55
Pittsburgh,80,Florida St,66
Prairie View,82,MS Valley St,69
Princeton,66,Brown,51
Purdue,80,Michigan St,63
Radford,79,Longwood,72
Rhode Island,77,George Mason,74
Robert Morris,74,Central Conn,64
S Carolina St,84,Coppin St,79
S Dakota St,97,IPFW,89
Samford,80,VMI,61
San Diego,60,Santa Clara,58
San Francisco,65,Portland,51
San Jose St,83,Air Force,78
SE Missouri St,90,TN Martin,61
SF Austin,60,SE Louisiana,52
Siena,76,Niagara,70
SMU,76,Houston,66
South Alabama,87,Appalachian St,74
South Dakota,86,Oral Roberts,72
Southern Univ,77,Alabama A&M,64
Southern Utah,84,Northern Arizona,68
St Mary's CA,70,BYU,57
Stony Brook,76,Binghamton,55
TAM C. Christi,70,Lamar,63
Tennessee,90,Missouri,70
Tennessee St,68,E Kentucky,66
Tennessee Tech,79,Jacksonville St,78
Texas A&M,81,Auburn,62
Toledo,88,N Illinois,80
Towson,75,James Madison,65
Troy,87,Coastal Car,78
Tulane,94,South Florida,71
TX Southern,78,Ark Pine Bluff,40
UC Irvine,79,UC Riverside,60
UCF,61,East Carolina,58
UCLA,102,USC,70
ULL,85,ULM,84
UMBC,108,MA Lowell,102
UNC Asheville,66,Campbell,53
UNC Greensboro,73,Furman,52
UNC Wilmington,83,Hofstra,76
UT Arlington,68,Georgia St,67
UTEP,79,Rice,71
Vanderbilt,71,South Carolina,62
Villanova,92,Seton Hall,70
W Michigan,88,E Michigan,80
Wagner,73,St Francis NY,55
Washington St,86,Arizona St,71
West Virginia,83,Texas Tech,74
WI Green Bay,80,WI Milwaukee,56
Wichita St,73,Northern Iowa,44
William & Mary,85,Delaware,64
Winthrop,84,Liberty,67
Wofford,84,W Carolina,56
Wright St,74,Cleveland St,68
Youngstown St,81,N Kentucky,77
Albany NY,74,Maine,56
Bucknell,86,Boston Univ,66
Butler,82,DePaul,66
Colgate,66,Loyola MD,56
Connecticut,64,Temple,63
Creighton,87,Georgetown,70
G Washington,77,Duquesne,70
Georgia Tech,71,Syracuse,65
Holy Cross,69,American Univ,54
Illinois St,65,Loyola-Chicago,63
IUPUI,83,Denver,72
Lehigh,81,Lafayette,55
Manhattan,95,Quinnipiac,74
Marist,76,Canisius,74
Minnesota,83,Michigan,78
Oakland,87,IL Chicago,75
Oregon St,68,Utah,67
Rider,103,Iona,85
S Illinois,74,Indiana St,68
San Diego St,77,UNLV,64
St Peter's,74,Fairfield,55
Valparaiso,83,Detroit,63
WKU,76,UAB,64
Wisconsin,71,Maryland,60
Alcorn St,74,Alabama A&M,59
Bethune-Cookman,75,Norfolk St,65
Coastal Car,81,South Alabama,77
Coppin St,84,Savannah St,83
Florida St,104,Boston College,72
Georgia St,67,Texas St,51
Hampton,76,Florida A&M,69
Iowa St,82,Texas Tech,80
MD E Shore,106,NC A&T,95
Miami FL,54,Virginia,48
Morgan St,65,Delaware St,54
NC Central,66,Howard,59
Prairie View,73,Ark Pine Bluff,55
Southern Univ,79,Alabama St,73
Troy,76,Appalachian St,66
TX Southern,92,MS Valley St,61
UT Arlington,81,Ga Southern,71
West Virginia,77,Texas,62
Auburn,98,LSU,75
Ball St,79,E Michigan,72
Baylor,60,Oklahoma,54
Bowling Green,66,Akron,65
Colorado St,68,New Mexico,56
Dayton,83,George Mason,70
Detroit,91,Cleveland St,83
East Carolina,76,Tulane,73
Florida,81,South Carolina,66
Illinois,66,Northwestern,50
Iowa,96,Indiana,90
Kent,77,Buffalo,69
Kentucky,72,Missouri,62
Marquette,93,St John's,71
Mississippi,87,Mississippi St,82
Monmouth NJ,82,Fairfield,62
N Illinois,89,C Michigan,66
N Kentucky,83,Wright St,76
NC State,71,Georgia Tech,69
Oakland,101,Youngstown St,72
Ohio,79,Miami OH,62
Purdue,74,Penn St,70
Rhode Island,67,La Salle,56
Richmond,84,Davidson,76
Valparaiso,67,WI Milwaukee,61
Virginia Tech,71,Clemson,70
W Michigan,61,Toledo,56
WI Green Bay,87,IL Chicago,79
Wichita St,109,Evansville,83
Air Force,81,UNLV,58
American Univ,74,Navy,58
Arkansas,86,Texas A&M,77
Army,73,Boston Univ,62
Bradley,77,Missouri St,68
Bucknell,94,Lafayette,64
Butler,74,Villanova,66
CS Fullerton,56,UC Irvine,54
DePaul,67,Georgetown,65
ETSU,93,Furman,81
Fordham,70,Duquesne,52
Fresno St,63,San Diego St,55
Hartford,76,Binghamton,69
Holy Cross,63,Loyola MD,62
Houston,75,Connecticut,70
Illinois St,50,S Illinois,46
Indiana St,69,Northern Iowa,59
Kansas,87,TCU,68
Lamar,88,Northwestern LA,68
Lehigh,87,Colgate,69
Loyola-Chicago,80,Drake,65
Michigan,68,Rutgers,64
Minnesota,89,Maryland,75
N Dakota St,82,Oral Roberts,80
NE Omaha,84,Denver,83
Nevada,85,Boise St,77
New Hampshire,78,MA Lowell,67
North Carolina,74,Louisville,63
Oklahoma St,80,Kansas St,68
Oregon,68,California,65
Providence,68,Creighton,66
Rider,93,Manhattan,82
Samford,72,Chattanooga,68
SE Louisiana,87,Cent Arkansas,70
Seton Hall,71,Xavier,64
St Bonaventure,83,St Joseph's PA,77
Stanford,79,Oregon St,66
Syracuse,78,Duke,75
TAM C. Christi,56,Abilene Chr,44
UCF,71,Temple,69
UMBC,65,Stony Brook,52
UNC Greensboro,72,Mercer,66
Utah St,81,San Jose St,75
VA Commonwealth,64,St Louis,50
Vanderbilt,67,Tennessee,56
Vermont,62,Albany NY,50
W Carolina,84,Citadel,80
Wake Forest,63,Pittsburgh,59
Wofford,81,VMI,63
Arizona,90,USC,77
BYU,97,Portland,78
Cal Poly SLO,78,Long Beach St,71
Central Conn,62,St Francis NY,53
Charlotte,83,WKU,77
Cincinnati,87,Memphis,74
Col Charleston,78,Delaware,65
CS Bakersfield,71,Missouri KC,62
E Kentucky,68,Jacksonville St,65
E Washington,82,Weber St,72
FL Gulf Coast,80,Stetson,70
G Washington,83,Massachusetts,67
Gardner Webb,81,UNC Asheville,76
Georgia,60,Alabama,55
Gonzaga,96,San Diego,38
Grand Canyon,82,Chicago St,59
High Point,59,Campbell,49
Hofstra,96,William & Mary,82
Houston Bap,81,McNeese St,79
Idaho,69,Idaho St,61
IUPUI,83,IPFW,82
James Madison,70,Drexel,64
Liberty,61,Longwood,45
Lipscomb,85,Kennesaw,74
Long Island,62,Mt St Mary's,58
Louisiana Tech,85,North Texas,67
Loy Marymount,53,San Francisco,51
Marist,87,Quinnipiac,74
Michigan St,88,Nebraska,72
Morehead St,73,Tennessee Tech,68
New Orleans,82,SF Austin,65
Nicholls St,77,Incarnate Word,68
NJIT,88,SC Upstate,87
North Florida,73,Jacksonville,69
Northeastern,105,Elon,104
Northern Arizona,73,CS Sacramento,69
Ohio St,83,Wisconsin,73
Old Dominion,86,Marshall,65
Portland St,93,Southern Utah,86
Radford,59,Presbyterian,57
Rice,72,Southern Miss,71
Robert Morris,77,F Dickinson,76
Santa Barbara,68,UC Riverside,61
Santa Clara,69,Pacific,68
SE Missouri St,82,Murray St,69
Seattle,86,UTRGV,77
South Dakota,92,W Illinois,81
St Francis PA,73,Sacred Heart,64
St Mary's CA,78,Pepperdine,49
TN Martin,76,Austin Peay,72
Tulsa,82,South Florida,68
UC Davis,96,CS Northridge,85
UCLA,87,Arizona St,75
UNC Wilmington,83,Towson,78
UT San Antonio,69,Florida Intl,67
Utah,86,Colorado,81
Utah Valley,84,New Mexico St,72
UTEP,60,FL Atlantic,55
Wagner,69,Bryant,66
Winthrop,86,Charleston So,72
Brown,80,Dartmouth,75
California,76,Oregon St,46
Dayton,89,Davidson,82
Detroit,81,WI Milwaukee,74
Fairfield,58,Canisius,55
Harvard,77,Yale,64
Iona,72,Manhattan,51
Monmouth NJ,77,Siena,73
N Kentucky,90,IL Chicago,82
Oakland,85,WI Green Bay,72
Penn,69,Cornell,66
Princeton,64,Columbia,45
St Peter's,66,Niagara,53
Valparaiso,84,Wright St,74
Abilene Chr,84,Sam Houston St,81
Akron,89,Buffalo,83
Alabama A&M,87,Prairie View,74
Albany NY,80,Hartford,62
Alcorn St,68,Southern Univ,67
American Univ,64,Loyola MD,62
Arkansas,79,Auburn,68
Austin Peay,88,SE Missouri St,79
Belmont,68,Tennessee St,63
Boise St,85,San Jose St,78
Boston Univ,71,Holy Cross,68
Bowling Green,70,Miami OH,54
Bradley,82,Drake,74
Bryant,91,Central Conn,77
Bucknell,82,Navy,60
BYU,79,Gonzaga,71
Cal Poly SLO,84,UC Riverside,77
Campbell,61,Radford,58
Charleston So,86,Longwood,78
Citadel,102,Samford,96
Cleveland St,69,Youngstown St,55
Col Charleston,80,Drexel,67
Colorado St,56,San Diego St,55
Columbia,70,Penn,67
CS Bakersfield,69,Chicago St,49
CS Sacramento,86,Southern Utah,76
E Kentucky,75,Tennessee Tech,71
E Michigan,84,N Illinois,68
E Washington,89,Idaho St,77
Edwardsville,78,E Illinois,59
Elon,81,Delaware,59
ETSU,68,W Carolina,52
Evansville,65,Indiana St,63
FL Atlantic,73,UT San Antonio,66
Florida St,76,Clemson,74
Furman,78,Wofford,69
Ga Southern,72,Arkansas St,60
Gardner Webb,88,High Point,86
Georgia,82,LSU,80
Georgia St,71,Ark Little Rock,54
Grambling,78,Ark Pine Bluff,58
Grand Canyon,84,Missouri KC,77
Harvard,77,Brown,58
Hawaii,64,CS Fullerton,58
Hofstra,71,James Madison,66
Houston Bap,75,Lamar,68
Idaho,83,Weber St,78
Illinois St,63,Northern Iowa,42
Indiana,63,Northwestern,62
Iowa,83,Maryland,69
Iowa St,72,Baylor,69
IPFW,96,W Illinois,92
Jacksonville St,70,Morehead St,61
Kansas,77,Texas,67
Kent,70,Ohio,67
Kentucky,76,Florida,66
Lafayette,73,Colgate,69
Lehigh,83,Army,69
Long Island,88,Wagner,84
Loy Marymount,67,Pacific,66
Maine,72,Binghamton,71
Marshall,93,Charlotte,89
MD E Shore,65,Delaware St,64
Mercer,64,Chattanooga,54
Miami FL,55,Duke,50
Michigan,82,Purdue,70
Michigan St,84,Wisconsin,74
Minnesota,81,Penn St,71
Mississippi,80,Missouri,77
Montana St,78,Montana,69
Morgan St,77,Hampton,70
MS Valley St,70,Jackson St,67
Mt St Mary's,77,St Francis NY,62
NC Central,78,Bethune-Cookman,63
NE Omaha,96,N Dakota St,92
Nevada,94,UNLV,58
New Hampshire,94,UMBC,90
New Mexico St,86,Seattle,53
Nicholls St,77,SE Louisiana,71
Norfolk St,73,Howard,65
North Carolina,85,Pittsburgh,67
North Dakota,84,N Colorado,81
Northwestern LA,83,New Orleans,82
Oklahoma,81,Kansas St,51
Oklahoma St,80,Texas Tech,63
Old Dominion,67,WKU,53
Oregon,75,Stanford,73
Portland St,84,Northern Arizona,72
Princeton,75,Cornell,60
Providence,73,Marquette,69
Rhode Island,69,VA Commonwealth,59
Rice,88,Louisiana Tech,81
Richmond,70,Fordham,48
Robert Morris,79,Sacred Heart,72
S Carolina St,75,Florida A&M,64
S Dakota St,88,Denver,64
S Illinois,72,Loyola-Chicago,70
San Diego,85,Portland,82
San Francisco,76,Pepperdine,65
Savannah St,110,NC A&T,91
Seton Hall,82,DePaul,79
SF Austin,90,Cent Arkansas,85
SMU,69,Connecticut,61
South Carolina,82,Tennessee,55
South Dakota,92,IUPUI,85
Southern Miss,76,North Texas,53
St Bonaventure,80,Duquesne,77
St Francis PA,70,F Dickinson,64
St John's,86,Georgetown,80
St Louis,61,St Joseph's PA,60
St Mary's CA,70,Santa Clara,56
TAM C. Christi,81,McNeese St,70
Temple,86,Tulane,76
Texas A&M,56,Alabama,53
Texas St,63,Troy,59
TN Martin,83,Murray St,76
Toledo,87,C Michigan,66
TX Southern,86,Alabama St,73
UC Davis,75,Long Beach St,71
UC Irvine,83,CS Northridge,80
UCLA,77,Arizona,72
ULL,79,Coastal Car,77
ULM,75,Appalachian St,64
UNC Asheville,63,Liberty,45
UNC Greensboro,74,VMI,67
UNC Wilmington,74,Northeastern,65
UT Arlington,86,South Alabama,75
Utah St,89,Air Force,58
Utah Valley,88,UTRGV,68
UTEP,90,Florida Intl,76
Vanderbilt,77,Mississippi St,48
Vermont,66,Stony Brook,51
Villanova,79,Creighton,63
Virginia,70,NC State,55
Virginia Tech,91,Boston College,75
W Michigan,80,Ball St,55
West Virginia,61,TCU,60
Wichita St,86,Missouri St,67
William & Mary,83,Towson,79
Winthrop,93,Presbyterian,56
Wyoming,82,New Mexico,71
Yale,99,Dartmouth,86
Arizona St,83,USC,82
Butler,88,Xavier,79
Fairfield,62,Niagara,58
G Washington,83,George Mason,74
Houston,72,Memphis,71
Illinois,73,Nebraska,57
Louisville,88,Syracuse,68
Massachusetts,84,La Salle,71
Monmouth NJ,79,Iona,73
MTSU,66,UAB,64
N Kentucky,82,Valparaiso,78
Notre Dame,64,Georgia Tech,60
Oakland,86,WI Milwaukee,75
Rider,99,Quinnipiac,82
Siena,80,Marist,64
St Peter's,72,Canisius,65
Tulsa,74,East Carolina,66
UCF,53,Cincinnati,49
Washington St,79,Washington,71
WI Green Bay,89,Detroit,81
Wright St,87,IL Chicago,49
Ark Little Rock,56,Ga Southern,54
Arkansas St,78,Georgia St,67
Baylor,71,West Virginia,62
Bethune-Cookman,73,NC A&T,70
Citadel,85,Chattanooga,76
Coastal Car,77,ULM,72
FL Gulf Coast,87,Stetson,57
Hampton,63,Norfolk St,59
Howard,79,MD E Shore,69
Jackson St,62,Ark Pine Bluff,51
Kansas,73,Oklahoma,63
Kennesaw,80,SC Upstate,78
Lipscomb,97,NJIT,66
Mercer,88,Samford,79
Morgan St,71,Coppin St,66
MS Valley St,84,Grambling,80
North Florida,77,Jacksonville,74
Prairie View,77,Alabama St,58
Savannah St,74,NC Central,73
Texas St,90,South Alabama,64
TX Southern,74,Alabama A&M,64
ULL,77,Appalachian St,62
UNC Greensboro,72,ETSU,66
UT Arlington,82,Troy,67
Virginia,53,North Carolina,43
Virginia Tech,66,Miami FL,61
W Carolina,81,VMI,68
Army,74,American Univ,58
Ball St,82,Toledo,74
Buffalo,83,Ohio,79
Campbell,81,Presbyterian,62
Charleston So,79,Longwood,74
Colorado St,78,Wyoming,76
Creighton,82,St John's,68
Davidson,68,St Bonaventure,63
Duke,75,Florida St,70
E Michigan,109,C Michigan,81
Fresno St,74,Boise St,67
Georgia Tech,61,Pittsburgh,52
Iowa St,86,Oklahoma St,83
Kent,74,Bowling Green,67
Kentucky,73,Vanderbilt,67
Loyola MD,67,Lafayette,64
Maryland,79,Rutgers,59
Miami OH,79,Akron,75
Ohio St,71,Penn St,70
Providence,73,DePaul,64
Purdue,86,Indiana,75
Seton Hall,62,Georgetown,59
South Carolina,63,Mississippi St,57
Texas A&M,60,Missouri,43
W Michigan,70,N Illinois,56
Alabama,70,Mississippi,55
Albany NY,100,Hartford,71
Clemson,78,NC State,74
Dayton,79,VA Commonwealth,72
East Carolina,66,Connecticut,62
Florida,78,Arkansas,65
G Washington,67,Fordham,66
George Mason,63,Duquesne,62
Georgia,79,Auburn,78
Houston Bap,94,TAM C. Christi,80
Illinois,73,Michigan St,70
Incarnate Word,89,Abilene Chr,75
Kansas St,75,TCU,74
LSU,92,Tennessee,82
Marquette,95,Xavier,84
Mt St Mary's,76,Sacred Heart,73
Murray St,85,Tennessee Tech,84
Nevada,82,San Jose St,67
New Hampshire,74,UMBC,65
Northwestern,67,Michigan,65
Notre Dame,82,Boston College,66
Rhode Island,68,St Joseph's PA,49
Richmond,75,Massachusetts,64
Robert Morris,69,Long Island,68
San Diego St,51,Air Force,38
SE Missouri St,78,Tennessee St,75
St Francis PA,100,Bryant,78
St Louis,70,La Salle,55
Stony Brook,70,Binghamton,60
Texas Tech,67,Texas,57
UC Irvine,68,UC Riverside,56
UCLA,98,Washington,66
UNLV,66,Utah St,59
USC,87,Washington St,64
Vermont,86,Maine,41
Wagner,72,F Dickinson,70
Wake Forest,88,Louisville,81
Ark Little Rock,62,South Alabama,57
Bethune-Cookman,69,Florida A&M,59
Boston Univ,64,Loyola MD,60
Bradley,67,Drake,58
Bucknell,78,Army,62
Cal Poly SLO,76,CS Northridge,70
Campbell,81,UNC Asheville,79
Canisius,77,Marist,73
Charlotte,76,UT San Antonio,75
Cincinnati,65,Houston,47
Colorado,91,Stanford,72
CS Fullerton,65,Santa Barbara,54
CS Sacramento,57,North Dakota,53
Delaware St,66,Howard,56
E Washington,91,Southern Utah,75
Evansville,83,Indiana St,72
FL Gulf Coast,74,Kennesaw,62
Gardner Webb,91,High Point,55
Grambling,82,Alabama St,69
Hampton,89,Coppin St,82
Idaho,77,Northern Arizona,75
Iowa,59,Wisconsin,57
Jackson St,72,Alabama A&M,64
Jacksonville St,74,SE Missouri St,51
Lamar,87,Nicholls St,75
Lehigh,77,Colgate,72
MD E Shore,67,Morgan St,66
Memphis,92,Tulane,70
Minnesota,88,Nebraska,73
Montana,78,Weber St,74
Montana St,79,Idaho St,68
MTSU,70,Florida Intl,67
Murray St,75,Morehead St,69
N Colorado,87,Portland St,84
Navy,49,Holy Cross,42
NC A&T,68,NC Central,63
Niagara,88,Quinnipiac,69
North Florida,91,Lipscomb,85
Northwestern LA,72,SF Austin,67
Old Dominion,62,UTEP,61
Prairie View,70,Southern Univ,64
Radford,56,Liberty,52
Rice,89,Marshall,88
Rider,69,Manhattan,68
Sam Houston St,79,McNeese St,74
Savannah St,95,S Carolina St,88
SE Louisiana,63,New Orleans,58
SMU,93,Tulsa,70
Troy,81,Arkansas St,72
TX Southern,94,Alcorn St,88
UAB,79,FL Atlantic,59
UC Davis,68,Hawaii,59
UCF,59,South Florida,56
ULL,94,Texas St,84
UT Arlington,72,ULM,57
Utah,74,California,44
WKU,74,North Texas,63
Winthrop,92,Charleston So,78
Akron,66,Kent,56
Ball St,87,N Illinois,82
Brown,88,Columbia,68
Buffalo,80,Bowling Green,68
Campbell,66,Radford,50
Citadel,78,W Carolina,72
Dartmouth,76,Penn,74
Delaware,81,Hofstra,76
Illinois St,80,Evansville,69
Jacksonville St,65,Belmont,59
James Madison,80,Drexel,70
Missouri St,70,Northern Iowa,64
Monmouth NJ,84,Niagara,59
Ohio,69,Miami OH,55
Pacific,89,Pepperdine,84
Portland,60,San Diego,55
Princeton,73,Harvard,69
S Illinois,55,Loyola-Chicago,50
Samford,79,VMI,61
St Peter's,61,Canisius,58
TN Martin,73,Murray St,67
Toledo,60,E Michigan,56
W Michigan,88,C Michigan,80
West Virginia,87,Iowa St,76
WI Milwaukee,85,Detroit,60
Wichita St,82,Bradley,56
Winthrop,80,Gardner Webb,77
Yale,90,Cornell,63
Youngstown St,84,Cleveland St,69
Appalachian St,77,Coastal Car,73
Arizona,73,Arizona St,60
Arkansas,85,Georgia,67
Auburn,89,Missouri,78
Baylor,75,Texas,64
Boise St,98,Air Force,70
BYU,89,Loy Marymount,81
Clemson,82,Boston College,68
Col Charleston,67,James Madison,62
Colorado,54,California,46
Cornell,92,Brown,78
CS Fullerton,86,CS Northridge,78
ETSU,73,Mercer,66
Florida Intl,68,UAB,56
Florida St,66,Miami FL,57
Fresno St,72,UNLV,59
G Washington,87,Dayton,81
Georgia St,72,Ga Southern,67
Gonzaga,82,Pacific,50
Grambling,78,Alabama A&M,57
Grand Canyon,58,CS Bakersfield,52
Houston Bap,81,Abilene Chr,72
Idaho,84,Southern Utah,75
Illinois St,63,S Illinois,50
Indiana,96,Ohio St,92
Iona,88,Rider,70
IUPUI,76,N Dakota St,57
Jackson St,65,Alabama St,59
Jacksonville St,66,TN Martin,55
Kansas,90,Oklahoma St,85
Kansas St,61,Texas Tech,48
Kentucky,71,Texas A&M,63
La Salle,66,Fordham,54
Lamar,90,McNeese St,83
Long Beach St,84,Hawaii,75
Louisiana Tech,93,Southern Miss,65
Louisville,71,Notre Dame,64
Marquette,91,Creighton,83
Marshall,106,North Texas,104
Maryland,63,Michigan St,60
Mississippi,75,South Carolina,70
Mississippi St,88,LSU,76
Missouri KC,87,Chicago St,82
Montana,95,Idaho St,76
MS Valley St,88,Ark Pine Bluff,77
Mt St Mary's,75,Robert Morris,66
MTSU,93,FL Atlantic,59
N Colorado,70,CS Sacramento,67
Nevada,85,Colorado St,72
New Mexico,64,San Diego St,59
New Mexico St,107,UTRGV,81
New Orleans,74,Nicholls St,64
North Carolina,90,Duke,83
North Dakota,82,Portland St,73
Northern Arizona,76,E Washington,61
Northwestern LA,97,Cent Arkansas,83
Oklahoma,73,TCU,68
Oregon,80,Oregon St,59
Penn,75,Harvard,72
Prairie View,66,Alcorn St,60
Princeton,85,Dartmouth,48
Providence,86,St John's,75
Rhode Island,73,Davidson,70
Richmond,72,St Louis,62
Rutgers,62,Illinois,59
Samford,67,Furman,63
Santa Barbara,57,Cal Poly SLO,44
Santa Clara,76,San Francisco,69
Seton Hall,70,Butler,64
SF Austin,64,Sam Houston St,56
Siena,78,Fairfield,66
SMU,103,Memphis,62
South Alabama,73,Arkansas St,70
South Dakota,78,W Illinois,69
St Bonaventure,60,Massachusetts,56
St Francis PA,71,Wagner,70
St Joseph's PA,63,Duquesne,60
St Mary's CA,81,Portland,58
Syracuse,90,Georgia Tech,61
TAM C. Christi,81,Incarnate Word,64
Tennessee,59,Alabama,54
Texas St,70,ULM,65
Towson,82,Northeastern,54
Troy,57,Ark Little Rock,54
TX Southern,82,Southern Univ,69
UC Irvine,79,UC Davis,49
UCLA,77,Washington St,68
ULL,83,UT Arlington,81
UNC Greensboro,76,Citadel,67
UNC Wilmington,91,Delaware,82
USC,74,Washington,58
UT San Antonio,73,Old Dominion,55
Utah,67,Stanford,59
Utah Valley,61,Seattle,54
UTEP,74,Charlotte,67
VA Commonwealth,72,George Mason,60
Vanderbilt,73,Florida,71
Villanova,81,Georgetown,55
Virginia,67,Pittsburgh,42
WKU,79,Rice,72
Wake Forest,89,Virginia Tech,84
Weber St,76,Montana St,67
WI Milwaukee,43,Valparaiso,41
Wichita St,78,Missouri St,63
William & Mary,71,Elon,66
Wofford,79,Chattanooga,67
Wyoming,74,San Jose St,62
Xavier,79,DePaul,65
Yale,75,Columbia,71
Youngstown St,81,Oakland,80
Bucknell,70,Navy,65
Cincinnati,67,Connecticut,47
Col Charleston,67,Towson,59
ETSU,81,Samford,72
FL Gulf Coast,77,North Florida,61
Houston,73,East Carolina,51
IL Chicago,79,WI Green Bay,70
Iona,73,St Peter's,65
Iowa,90,Penn St,79
Lehigh,91,Boston Univ,88
Maryland,63,Michigan St,60
Michigan,93,Nebraska,57
N Kentucky,82,Wright St,77
NE Omaha,84,IPFW,80
S Dakota St,83,Denver,73
Siena,89,Monmouth NJ,85
Temple,72,South Florida,60
Tulane,81,Tulsa,69
UNC Greensboro,77,Wofford,73
UNC Wilmington,105,William & Mary,94
Wichita St,71,Illinois St,51
Winthrop,76,Campbell,59
Wisconsin,66,Minnesota,49
Albany NY,63,Stony Brook,56
E Michigan,72,N Illinois,69
ETSU,79,UNC Greensboro,74
Gonzaga,77,Santa Clara,68
Howard,79,Coppin St,73
Iona,87,Siena,86
Kent,116,C Michigan,106
MD E Shore,75,NC A&T,65
N Kentucky,84,Youngstown St,74
NE Omaha,90,IUPUI,62
S Dakota St,74,South Dakota,71
St Mary's CA,81,BYU,50
Toledo,77,Bowling Green,62
UNC Wilmington,78,Col Charleston,69
Vermont,74,New Hampshire,41
W Michigan,65,Miami OH,61
WI Milwaukee,74,IL Chicago,68
Alcorn St,63,MS Valley St,60
Bethune-Cookman,69,Delaware St,62
Clemson,75,NC State,61
CS Sacramento,91,Idaho St,76
Gonzaga,74,St Mary's CA,56
Grambling,81,Prairie View,77
Mt St Mary's,71,St Francis PA,61
N Kentucky,59,WI Milwaukee,53
Pittsburgh,61,Georgia Tech,59
Portland St,80,Northern Arizona,67
S Carolina St,82,Florida A&M,78
S Dakota St,79,NE Omaha,77
Southern Univ,69,Jackson St,63
Southern Utah,109,Montana St,105
TX Southern,87,Alabama St,72
Wake Forest,92,Boston College,78
Air Force,83,Wyoming,68
Arizona St,98,Stanford,88
Bucknell,81,Lehigh,65
California,67,Oregon St,62
Coastal Car,80,South Alabama,67
Colorado,73,Washington St,63
Duke,79,Clemson,72
Lamar,77,SE Louisiana,65
Marshall,89,FL Atlantic,74
Massachusetts,70,St Joseph's PA,63
Miami FL,62,Syracuse,57
Mississippi St,79,LSU,52
Missouri,86,Auburn,83
NC Central,95,Bethune-Cookman,60
Norfolk St,93,S Carolina St,88
Penn St,76,Nebraska,67
Rice,86,Southern Miss,75
Rutgers,66,Ohio St,57
Sam Houston St,77,Cent Arkansas,69
San Diego St,62,UNLV,52
St John's,74,Georgetown,73
St Louis,72,Duquesne,71
TCU,82,Oklahoma,63
Texas,61,Texas Tech,52
Troy,84,Appalachian St,64
UAB,74,Charlotte,73
ULL,78,Ark Little Rock,71
ULM,73,Arkansas St,70
USC,78,Washington,73
UT San Antonio,56,WKU,52
Utah St,90,San Jose St,64
Virginia,75,Pittsburgh,63
Virginia Tech,99,Wake Forest,90
Xavier,75,DePaul,64
Akron,79,E Michigan,62
Alabama,75,Mississippi St,55
Arizona,92,Colorado,78
Ball St,66,W Michigan,63
California,78,Utah,75
Colorado St,81,Air Force,55
Connecticut,77,South Florida,66
